title,authors_name,conference_name,published_year,school_institution,domain
"```json
{
    ""title"": ""Recompose Event Sequences vs. Predict Next Events: A Novel Anomaly Detection Approach for Discrete Event Logs""
}
```","```json
{
    ""authors"": ""Lun-Pin Yuan, Peng Liu, Sencun Zhu""
}
```","```json
{
    ""conference"": ""ASIA CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Pennsylvania State University""
}
```","```json
{
    ""research_domain"": ""anomaly detection""
}
```"
"{
    ""title"": ""Honest-but-Curious Nets: Sensitive Attributes of Private Inputs Can Be Secretly Coded into the Classifiers’ Outputs""
}","```json
{
    ""authors"": ""Mohammad Malekzadeh, Anastasia Borovykh, Deniz Gündüz""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Imperial College London, UK""
}
```","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"```json
{
    ""title"": ""Consistency Analysis of Data-Usage Purposes in Mobile Apps""
}
```","```json
{
    ""authors"": ""Duc Bui, Yuan Yao, Kang G. Shin, Jong-Min Choi, Junbum Shin""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""University of Michigan, Samsung Research, CryptoLab""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"```json
{
    ""title"": ""C3PO: Large-Scale Study of Covert Monitoring of C&C Servers via Over-Permissioned Protocol Infiltration""
}
```","```json
{
    ""authors"": ""Jonathan Fuller, Ranjita Pai Kasturi, Amit Sikder, Haichuan Xu, Berat Arik, Vivek Verma, Ehsan Asdar, Brendan Saltaformaggio""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Georgia Institute of Technology""
}
```","```json
{
    ""research_domain"": ""botnet detection""
}
```"
"{
    ""title"": ""Cert-RNN: Towards Certifying the Robustness of Recurrent Neural Networks""
}","```json
{
    ""authors"": ""Tianyu Du, Shouling Ji, Lujia Shen, Yao Zhang, Jinfeng Li, Jie Shi, Chengfang Fang, Jianwei Yin, Raheem Beyah, Ting Wang""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Zhejiang University, Binjiang Institute of Zhejiang University, Huawei International, Singapore, Georgia Institute of Technology, Pennsylvania State University""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"```json
{
    ""title"": ""LEAP: Leakage-Abuse Attack on Efficiently Deployable, Efficiently Searchable Encryption with Partially Known Dataset""
}
```","```json
{
    ""authors"": ""Jianting Ning, Xinyi Huang, Geong Sen Poh, Jiaming Yuan, Yingjiu Li, Jian Weng, Robert H. Deng""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Fujian Normal University, Singapore Management University, Nanyang Technological University, University of Oregon, Jinan University""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"```json
{
    ""title"": ""Dissecting Click Fraud Autonomy in the Wild""
}
```","```json
{
    ""authors"": ""Tong Zhu, Yan Meng, Haotian Hu, Xiaokuan Zhang, Minhui Xue, Haojin Zhu""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Shanghai Jiao Tong University, The Ohio State University, The University of Adelaide""
}
```","```json
{
    ""research_domain"": ""web application security""
}
```"
"{
    ""title"": ""Periscope: A Keystroke Inference Attack Using Human Coupled Electromagnetic Emanations""
}","```json
{
    ""authors"": ""Wenqiang Jin, Srinivasan Murali, Huadi Zhu, Ming Li""
}
```","{
    ""conference"": ""CCS""
}","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Hunan University, The University of Texas at Arlington""
}
```","```json
{
    ""research_domain"": ""mobile browser security""
}
```"
"{
    ""title"": ""Secure Multi-party Computation of Differentially Private Heavy Hitters""
}","```json
{
    ""authors"": ""Jonas Böhler, Florian Kerschbaum""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""SAP Security Research, University of Waterloo""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"```json
{
    ""title"": ""ZKCPlus: Optimized Fair-exchange Protocol Supporting Practical and Flexible Data Exchange""
}
```","```json
{
    ""authors"": ""Yun Li, Cun Ye, Yuguang Hu, Ivring Morpheus, Yu Guo, Chao Zhang, Yupeng Zhang, Zhipeng Sun, Yiwen Lu, Haodi Wang""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Tsinghua University, K-Orange/SECBIT Labs, SECBIT Labs, Texas A&M University, Beijing Normal University""
}
```","```json
{
    ""research_domain"": ""cryptographic api misuse detection""
}
```"
"```json
{
    ""title"": ""Locally Private Graph Neural Networks""
}
```","```json
{
    ""authors"": ""Sina Sajadmanesh, Daniel Gatica-Perez""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Idiap Research Institute, EPFL""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"```json
{
    ""title"": ""All your Credentials are Belong to Us: On Insecure WPA2-Enterprise Configurations""
}
```","```json
{
    ""authors"": ""Man Hong Hue, Joyanta Debnath, Kin Man Leung, Li Li, Mohsen Minaei, M. Hammad Mazhar, Kailiang Xian, Endadul Hoque, Omar Chowdhury, Sze Yiu Chau""
}
```","{
    ""conference"": ""CCS""
}","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""The Chinese University of Hong Kong, The University of Iowa, The University of British Columbia, Syracuse University, Visa Research""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"```json
{
    ""title"": ""On the Robustness of Domain Constraints""
}
```","```json
{
    ""authors"": ""Ryan Sheatsley, Blaine Hoak, Eric Pauley, Yohan Beugin, Michael J. Weisman, Patrick McDaniel""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""The Pennsylvania State University, United States Army Combat Capabilities Development Command, Army Research Laboratory""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"{
    ""title"": ""Quantifying and Mitigating Privacy Risks of Contrastive Learning""
}","```json
{
    ""authors"": ""Xinlei He, Yang Zhang""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""CISPA Helmholtz Center for Information Security""
}
```","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"{
    ""title"": ""Membership Leakage in Label-Only Exposures""
}","{
    ""authors"": ""Zheng Li, Yang Zhang""
}","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""CISPA Helmholtz Center for Information Security""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"```json
{
    ""title"": ""SugarCoat: Programmatically Generating Privacy-Preserving, Web-Compatible Resource Replacements for Content Blocking""
}
```","```json
{
    ""authors"": ""Michael Smith, Pete Snyder, Benjamin Livshits, Deian Stefan""
}
```","{
    ""conference"": ""CCS""
}","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""UC San Diego, Brave Software""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""DataLens: Scalable Privacy Preserving Training via Gradient Compression and Aggregation""
}","```json
{
    ""authors"": ""Boxin Wang, Fan Wu, Yunhui Long, Luka Rimanic, Ce Zhang, Bo Li""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""University of Illinois at Urbana-Champaign, ETH Zürich""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""On-device IoT Certificate Revocation Checking with Small Memory and Low Latency""
}","```json
{
    ""authors"": ""Xiaofeng Shi, Shouqian Shi, Minmei Wang, Jonne Kaunisto, Chen Qian""
}
```","{
    ""conference"": ""CCS""
}","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""University of California, Santa Cruz, CA, USA""
}
```","```json
{
    ""research_domain"": ""iot security""
}
```"
"{
    ""title"": ""Oblivious Linear Group Actions and Applications""
}","```json
{
    ""authors"": ""Nuttapong Attrapadung, Goichiro Hanaoaka, Takahiro Matsuda, Hiraku Morita, Kazuma Ohara, Jacob C. N. Schuldt, Tadanori Teruya, Kazunari Tozawa""
}
```","{
    ""conference"": ""CCS""
}","{
    ""year"": ""2021""
}","```json
{
    ""school"": ""AIST, Japan, University of St. Gallen, Switzerland, University of Tokyo, Japan""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""Revisiting Fuzzy Signatures: Towards a More Risk-Free Cryptographic Authentication System based on Biometrics""
}","```json
{
    ""authors"": ""Shuichi Katsumata, Takahiro Matsuda, Wataru Nakamura, Kazuma Ohara, Kenta Takahashi""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","{
    ""school"": ""AIST, Hitachi, Ltd""
}","```json
{
    ""research_domain"": ""authentication mechanisms""
}
```"
"{
    ""title"": ""An In-Depth Symbolic Security Analysis of the ACME Standard""
}","{
    ""authors"": ""Karthikeyan Bhargavan, Abhishek Bichhawat, Quoc Huy Do, Pedram Hosseyni, Ralf Küsters, Guido Schmitz, Tim Würtele""
}","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""INRIA, IIT Gandhinagar, University of Stuttgart, Royal Holloway University of London, GLIWA GmbH""
}
```","```json
{
    ""research_domain"": ""web application security""
}
```"
"{
    ""title"": ""Differential Privacy for Directional Data""
}","```json
{
    ""authors"": ""Benjamin Weggenmann, Florian Kerschbaum""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""SAP Security Research, University of Waterloo""
}
```","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"{
    ""title"": ""Deterrence of Intelligent DDoS via Multi-Hop Traffic Divergence""
}","{
    ""authors"": ""Yuanjie Li, Hewu Li, Zhizheng Lv, Xingkun Yao, Qianru Li, Jianping Wu""
}","{
    ""conference"": ""CCS""
}","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Institute for Network Sciences and Cyberspace, BNRist, Tsinghua University, University of California at Los Angeles""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"{
    ""title"": ""HardsHeap: A Universal and Extensible Framework for Evaluating Secure Allocators""
}","{
    ""authors"": ""Insu Yun, Woosun Song, Seunggi Min, Taesoo Kim""
}","{
    ""conference"": ""CCS""
}","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""KAIST, Georgia Institute of Technology""
}
```","```json
{
    ""research_domain"": ""information security""
}
```"
"{
    ""title"": ""“Hello, It’s Me”: Deep Learning-based Speech Synthesis Attacks in the Real World""
}","```json
{
    ""authors"": ""Emily Wenger, Max Bronckers, Christian Cianfarani, Jenna Cryan, Angela Sha, Haitao Zheng, Ben Y. Zhao""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""University of Chicago""
}
```","```json
{
    ""research_domain"": ""deep learning for cybersecurity""
}
```"
"```json
{
    ""title"": ""Demons in the Shared Kernel: Abstract Resource Attacks Against OS-level Virtualization""
}
```","```json
{
    ""authors"": ""Nanzi Yang, Wenbo Shen, Jinku Li, Yutian Yang, Kangjie Lu, Jietao Xiao, Tianyu Zhou, Chenggang Qin, Wang Yu, Jianfeng Ma, Kui Ren""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Xidian University, Zhejiang University, University of Minnesota, Ant Group""
}
```","```json
{
    ""research_domain"": ""cloud security""
}
```"
"```json
{
    ""title"": ""DoubleX: Statically Detecting Vulnerable Data Flows in Browser Extensions at Scale""
}
```","```json
{
    ""authors"": ""Aurore Fass, Dolière Francis Somé, Michael Backes, Ben Stock""
}
```","{
    ""conference"": ""CCS""
}","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""CISPA Helmholtz Center for Information Security""
}
```","```json
{
    ""research_domain"": ""web application security""
}
```"
"```json
{
    ""title"": ""EncoderMI: Membership Inference against Pre-trained Encoders in Contrastive Learning""
}
```","```json
{
    ""authors"": ""Hongbin Liu, Jinyuan Jia, Wenjie Qu, Neil Zhenqiang Gong""
}
```","{
    ""conference"": ""CCS""
}","```json
{
    ""year"": ""2021""
}
```","{
    ""school"": ""Duke University, Huazhong University of Science and Technology""
}","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"{
    ""title"": ""Continuous Release of Data Streams under both Centralized and Local Differential Privacy""
}","```json
{
    ""authors"": ""Tianhao Wang, Joann Qiongna Chen, Zhikun Zhang, Dong Su, Yueqiang Cheng, Zhou Li, Ninghui Li, Somesh Jha""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""Carnegie Mellon University, University of Virginia, University of California, Irvine, CISPA, Alibaba Inc., NIO Security Research, Purdue University, University of Wisconsin, Madison""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
